join_so_nsubj Vinken 
expire_s_nsubj contracts 
say_s_nsubj many 
sign_o_dobj commitments 
offering_so_nsubj We 
offering_so_dobj plan 
says_s_nsubj manager 
comes_s_nsubj move 
running_s_nsubj that 
says_s_nsubj Kuvin 
gets_so_nsubj Cosby 
gets_so_dobj ratings 
offering_o_dobj pages 
survive_s_nsubj magazine 
made_so_nsubj Garbage 
made_so_dobj debut 
combines_so_nsubj magazine 
combines_so_dobj pieces 
ran_so_nsubj editors 
ran_so_dobj diagram 
practicing_so_nsubj it 
practicing_so_dobj garbage 
says_s_nsubj he 
have_so_nsubj Soup 
have_so_dobj plans 
featured_so_nsubj issues 
featured_so_dobj ads 
says_s_nsubj spokeswoman 
have_so_nsubj it 
have_so_dobj plans 
sell_s_nsubj copies 
printed_so_nsubj Corp. 
printed_so_dobj copies 
says_s_nsubj she 
has_so_nsubj magazine 
has_so_dobj orders 
care_s_nsubj I 
says_s_nsubj she 
sleep_s_nsubj I 
expanded_os_dobj which 
expanded_os_nsubj it 
bought_so_nsubj it 
bought_so_dobj % 
providing_so_nsubj Interpublic 
providing_so_dobj programming 
named_so_nsubj Corp. 
named_so_dobj Brown 
awarded_so_nsubj division 
awarded_so_dobj account 
breaks_so_nsubj Inc. 
breaks_so_dobj campaign 
specializes_s_nsubj firm 
pitches_so_nsubj campaign 
pitches_so_dobj service 
acquired_so_nsubj Communications 
acquired_so_dobj Braun 
made_so_nsubj which 
made_so_dobj offer 
use_o_dobj some 
offered_so_nsubj companies 
offered_so_dobj 50 
sweetened_so_nsubj Temple 
sweetened_so_dobj offer 
said_s_nsubj Sherwood 
gives_soo_nsubj $ 
gives_soo_iobj us 
gives_soo_dobj flexibility 
has_os_dobj that 
has_os_nsubj Containers 
criticized_so_nsubj Temple 
criticized_so_dobj plan 
characterizing_o_dobj it 
confuse_o_dobj shareholders 
prevent_o_dobj them 
said_s_nsubj spokesman 
stem_s_nsubj figures 
closed_s_nsubj Containers 
took_so_nsubj Department 
took_so_dobj steps 
issued_so_nsubj It 
issued_so_dobj rule 
said_s_nsubj Skinner 
represents_so_nsubj action 
represents_so_dobj milestone 
account_s_nsubj which 
have_o_dobj features 
have_so_nsubj They 
have_so_dobj luck 
praised_so_nsubj Danforth 
praised_so_dobj actions 
apply_s_nsubj proposal 
weighing_o_dobj pounds 
have_so_nsubj vehicle 
have_so_dobj belts 
joins_so_nsubj Walters 
joins_so_dobj board 
succeed_so_nsubj Peter 
succeed_so_dobj Milne 
retires_s_nsubj who 
approved_so_nsubj committee 
approved_so_dobj bill 
are_s_nsubj most 
allow_so_nsubj Massachusetts 
allow_so_dobj banking 
told_so_nsubj Driscoll 
told_so_dobj Report 
are_s_nsubj those 
think_s_nsubj who 
reducing_o_dobj employment 
signed_so_nsubj It 
signed_so_dobj agreement 
cut_so_nsubj Inc. 
cut_so_dobj dividend 
reported_so_nsubj company 
reported_so_dobj income 
adopted_so_nsubj company 
adopted_so_dobj plan 
succeeding_o_dobj Butler 
retiring_s_nsubj who 
remain_s_nsubj Butler 
announced_so_nsubj Winiarski 
announced_so_dobj tag 
balked_s_nsubj shops 
declared_s_nsubj Winiarski 
introduced_so_nsubj he 
introduced_so_dobj wine 
included_so_nsubj group 
included_so_dobj stable 
ranged_s_nsubj wines 
boast_so_nsubj France 
boast_so_dobj share 
costs_so_nsubj which 
costs_so_dobj $ 
goes_s_nsubj Yquem 
runs_so_nsubj 1983 
runs_so_dobj 179 
inching_s_nsubj some 
encroaching_s_nsubj Blancs 
steal_s_nsubj None 
soared_so_nsubj they 
soared_so_dobj Tache 
is_s_nsubj Hermitage 
command_so_nsubj that 
command_so_dobj prices 
seeing_so_nsubj We 
seeing_so_dobj it 
continued_s_nsubj Shapiro 
go_s_nsubj which 
offer_so_nsubj Some 
offer_so_dobj bargain 
Take_o_dobj Cabernet 
ripen_s_nsubj grapes 
yielded_so_nsubj that 
yielded_so_dobj cases 
asked_s_nsubj retailer 
Offering_o_dobj wine 
sent_soo_nsubj he 
sent_soo_iobj merchants 
sent_soo_dobj form 
take_so_nsubj I 
take_so_dobj it 
take_so_nsubj I 
take_so_dobj all 
get_s_nsubj I 
said_s_nsubj Pratt 
are_s_nsubj people 
got_so_nsubj We 
got_so_dobj six-packs 
wins_so_nsubj that 
wins_so_dobj ratings 
move_s_nsubj wine 
said_s_nsubj Pratt 
creating_so_nsubj they 
creating_so_dobj wines 
appeal_s_nsubj that 
explains_s_nsubj That 
expanding_s_nsubj number 
buy_s_nsubj who 
get_so_nsubj they 
get_so_dobj something 
has_so_nsubj Image 
has_so_dobj deal 
does_s_nsubj what 
lowering_o_dobj price 
have_so_nsubj people 
have_so_dobj ideas 
buy_so_nsubj you 
buy_so_dobj Tache 
's_s_nsubj what 
increasing_so_nsubj Signs 
increasing_so_dobj pressure 
occur_s_nsubj trend 
cut_so_nsubj Fed 
cut_so_dobj rate 
said_s_nsubj report 
noted_so_nsubj manufacturer 
noted_so_dobj orders 
are_s_nsubj signs 
pushing_s_nsubj governors 
resisting_so_nsubj many 
resisting_so_dobj move 
see_o_dobj lot 
tilt_so_nsubj that 
tilt_so_dobj us 
is_s_nsubj chance 
added_s_nsubj Guffey 
receive_so_nsubj shareholders 
receive_so_dobj right 
expire_s_nsubj which 
owns_so_nsubj which 
owns_so_dobj hotels 
owns_so_nsubj Hallwood 
owns_so_dobj % 
expired_s_nsubj contract 
was_s_nsubj vote 
said_s_nsubj Basham 
have_so_nsubj government 
have_so_dobj cash 
mature_s_nsubj that 
sell_so_nsubj Treasury 
sell_so_dobj securities 
raise_so_nsubj securities 
raise_so_dobj $ 
redeem_o_dobj $ 
consist_s_nsubj securities 
mature_s_nsubj They 
clearing_o_dobj way 
raise_so_nsubj Auctions 
raise_so_dobj total 
took_so_nsubj Investors 
took_so_dobj advantage 
gained_s_nsubj prices 
rose_s_nsubj prices 
boosted_so_nsubj demand 
boosted_so_dobj currency 
showed_s_nsubj investors 
jumped_so_nsubj average 
jumped_so_dobj points 
cut_o_dobj risks 
had_so_nsubj news 
had_so_dobj effect 
rose_s_nsubj prices 
totaled_so_nsubj volume 
totaled_so_dobj shares 
were_s_nsubj prices 
gained_so_nsubj bond 
gained_so_dobj quarter 
fell_s_nsubj yield 
rose_s_nsubj dollar 
posted_so_nsubj Mining 
posted_so_dobj rise 
ended_o_dobj 30 
tripled_s_nsubj income 
has_so_nsubj Sierra 
has_so_dobj employees 
supplies_o_dobj services 
follows_so_nsubj offer 
follows_so_dobj proposal 
pay_soo_nsubj that 
pay_soo_iobj shareholders 
pay_soo_dobj 55 
rebuffed_so_nsubj Gulf 
rebuffed_so_dobj offer 
made_so_nsubj it 
made_so_dobj proposals 
continuing_s_nsubj work 
elaborate_s_nsubj It 
saw_so_nsubj Analysts 
saw_so_dobj offer 
own_so_nsubj Simmons 
own_so_dobj stake 
owns_so_nsubj Simmons 
owns_so_dobj % 
owns_so_nsubj which 
owns_so_dobj two-thirds 
making_so_nsubj NL 
making_so_dobj offer 
pay_s_nsubj you 
rose_so_nsubj stock 
rose_so_dobj 1.75 
rose_so_nsubj Valhi 
rose_so_dobj cents 
proposing_s_nsubj they 
included_so_nsubj that 
included_so_dobj $ 
said_s_nsubj he 
finance_o_dobj remainder 
owns_so_nsubj group 
owns_so_dobj % 
earned_so_nsubj Gulf 
earned_so_dobj $ 
fell_s_nsubj Sales 
representing_o_dobj University 
added_so_nsubj company 
added_so_dobj Johnson 
challenging_o_dobj member 
filed_so_nsubj Patents 
filed_so_dobj suit 
developed_so_nsubj who 
developed_so_dobj Retin-A 
patented_so_nsubj Kligman 
patented_so_dobj medicine 
licensed_o_dobj Retin-A 
declined_so_nsubj spokesman 
declined_so_dobj comment 
looming_s_nsubj Criticism 
disagree_s_nsubj they 
wants_so_nsubj U.S. 
wants_so_dobj removal 
focusing_so_nsubj talk 
focusing_so_dobj attention 
have_so_nsubj investors 
have_so_dobj opportunity 
came_s_nsubj sign 
devoted_so_nsubj spokesman 
devoted_so_dobj all 
chastised_so_nsubj he 
chastised_so_dobj media 
acquiring_so_nsubj countries 
acquiring_so_dobj assets 
made_so_nsubj Pickens 
made_so_dobj hay 
facing_o_dobj Americans 
seek_so_nsubj who 
seek_so_dobj access 
are_s_nsubj differences 
has_so_nsubj side 
has_so_dobj litany 
need_so_nsubj we 
need_so_dobj it 
say_s_nsubj Japanese 
wants_so_nsubj U.S. 
wants_so_dobj results 
agree_s_nsubj sides 
trust_s_nsubj sides 
taking_so_nsubj sides 
taking_so_dobj action 
contributed_s_nsubj Rubinfien 
increasing_so_nsubj companies 
increasing_so_dobj stake 
improves_so_nsubj trend 
improves_so_dobj access 
provides_so_nsubj it 
provides_so_dobj source 
Take_o_dobj deal 
set_so_nsubj which 
set_so_dobj sights 
facing_o_dobj company 
turned_s_nsubj Candela 
guided_so_nsubj Mitsui 
guided_so_dobj Candela 
secured_so_nsubj It 
secured_so_dobj approval 
treats_so_nsubj that 
treats_so_dobj lesions 
gave_soo_nsubj deal 
gave_soo_iobj Mitsui 
gave_soo_dobj access 
went_s_nsubj they 
bankroll_so_nsubj companies 
bankroll_so_dobj companies 
putting_o_dobj money 
touch_os_dobj that 
touch_os_nsubj banks 
tracks_so_nsubj concern 
tracks_so_dobj investments 
involved_so_nsubj some 
involved_so_dobj purchase 
parallels_so_nsubj interest 
parallels_so_dobj acceleration 
giving_oo_iobj companies 
giving_oo_dobj control 
owns_so_nsubj which 
owns_so_dobj Center 
add_s_nsubj they 
feed_so_nsubj they 
feed_so_dobj anxieties 
catch_so_nsubj product 
catch_so_dobj fancy 
foundering_s_nsubj Industries 
bought_so_nsubj Corp. 
bought_so_dobj interest 
says_s_nsubj Wakui 
make_so_nsubj which 
make_so_dobj many 
have_so_nsubj companies 
have_so_dobj counterpart 
got_so_nsubj some 
got_so_dobj start 
deal_s_nsubj combines 
operate_so_nsubj They 
operate_so_dobj ships 
using_o_dobj term 
cut_s_nsubj companies 
face_os_dobj that 
face_os_nsubj owners 
have_so_nsubj he 
have_so_dobj capital 
want_so_nsubj They 
want_so_dobj assets 
want_so_nsubj they 
want_so_dobj sheet 
has_so_nsubj which 
has_so_dobj relation 
generate_s_nsubj company 
do_so_nsubj they 
do_so_dobj this 
says_s_nsubj Klauser 
has_so_nsubj Mitsui 
has_so_dobj subsidiaries 
holds_so_nsubj it 
holds_so_dobj interest 
resigned_s_nsubj president 
provides_so_nsubj which 
provides_so_dobj maintenance 
reported_so_nsubj General 
reported_so_dobj loss 
omitted_o_dobj dividend 
act_s_nsubj Stearn 
went_s_nsubj Driskill 
pine_os_dobj that 
pine_os_nsubj banks 
receiving_s_nsubj she 
paying_s_nsubj she 
introduced_so_nsubj Bank 
introduced_so_dobj Account 
included_so_nsubj it 
included_so_dobj checking 
checking_o_dobj checking 
put_so_nsubj All 
put_so_dobj 15,000 
took_so_nsubj She 
took_so_dobj business 
goes_s_nsubj it 
pay_s_nsubj they 
turning_s_nsubj banks 
targeting_o_dobj them 
starting_o_dobj careers 
offers_so_nsubj program 
offers_so_dobj loan 
launched_so_nsubj Corp. 
launched_so_dobj account 
include_so_nsubj that 
include_so_dobj card 
aiming_so_nsubj banks 
aiming_so_dobj packages 
packaging_o_dobj packaging 
launched_so_nsubj Fargo 
launched_so_dobj Account 
included_so_nsubj which 
included_so_dobj checking 
begot_so_nsubj concept 
begot_so_dobj slew 
target_o_dobj niches 
began_s_nsubj that 
offered_so_nsubj bank 
offered_so_dobj account 
thinking_s_nsubj who 
runs_so_nsubj who 
runs_so_dobj firm 
encourage_so_nsubj Packages 
encourage_so_dobj loyalty 
get_so_nsubj banks 
get_so_dobj audience 
have_s_nsubj customers 
says_s_nsubj Sullivan 
offers_so_nsubj that 
offers_so_dobj it 
has_so_nsubj Packaging 
has_so_dobj drawbacks 
spent_so_nsubj Bank 
spent_so_dobj $ 
moving_s_nsubj banks 
says_s_nsubj he 
has_so_nsubj Union 
has_so_dobj packages 
split_so_nsubj it 
split_so_dobj those 
has_sso_nsubj Currently 
has_sso_nsubj ShareData 
has_sso_dobj shares 
develops_so_nsubj ShareData 
develops_so_dobj software 
do_s_nsubj you 
Buy_o_dobj Chevrolet 
Take_o_dobj vacation 
Send_o_dobj child 
Buy_o_dobj necklace 
Make_o_dobj difference 
spend_sso_nsubj Americans 
spend_sso_nsubj today 
spend_sso_dobj 15,000 
think_so_nsubj they 
think_so_dobj much 
lead_s_nsubj it 
helping_so_nsubj you 
helping_so_dobj S&L 
give_so_nsubj you 
give_so_dobj gift 
experience_so_nsubj you 
experience_so_dobj joy 
find_so_nsubj who 
find_so_dobj ways 
builds_so_nsubj That 
builds_so_dobj confidence 
needs_so_nsubj institution 
needs_so_dobj help 
delay_s_nsubj you 
do_s_nsubj you 
send_o_dobj support 
send_s_nsubj you 
go_so_nsubj 15,000 
go_so_dobj way 
keep_o_dobj Institution 
fell_so_nsubj futures 
fell_so_dobj points 
remain_s_nsubj it 
plunged_so_nsubj industrials 
plunged_so_dobj points 
skidded_s_nsubj prices 
fell_sso_nsubj afternoon 
fell_sso_nsubj contract 
fell_sso_dobj total 
hitting_o_dobj limit 
remained_s_nsubj that 
reopened_s_nsubj contract 
require_so_nsubj All 
require_so_dobj approval 
provides_so_nsubj which 
provides_so_dobj respite 
lapses_s_nsubj limit 
banned_so_nsubj which 
banned_so_dobj trades 
moved_so_nsubj Average 
moved_so_dobj points 
trading_s_nsubj trading 
said_s_nsubj Breeden 
have_so_nsubj that 
have_so_dobj points 
want_so_nsubj he 
want_so_dobj power 
angered_so_nsubj Phelan 
angered_so_dobj chairman 
writing_o_dobj report 
asked_so_nsubj Markey 
asked_so_dobj Phelan 
attended_soo_nsubj Fifteen 
attended_soo_dobj hearing 
attended_soo_dobj Dingell 
expressed_so_nsubj Dingell 
expressed_so_dobj concern 
said_s_nsubj sources 
uses_so_nsubj which 
uses_so_dobj futures 
reports_s_nsubj which 
evoke_so_nsubj that 
evoke_so_dobj England 
stands_s_nsubj church 
cascading_s_nsubj sound 
calling_o_dobj faithful 
pull_s_nsubj men 
sounded_s_nsubj that 
is_s_nsubj note 
enjoying_o_dobj peal 
had_so_nsubj Michael 
had_so_dobj band 
herald_so_nsubj who 
herald_so_dobj morning 
remains_s_nsubj ringer 
live_ss_nsubj others 
live_ss_nsubj today 
belong_s_nsubj They 
drive_s_nsubj who 
sounding_s_nsubj bells 
have_so_nsubj they 
have_so_dobj discos 
drift_s_nsubj they 
keeps_s_nsubj that 
pealing_s_nsubj bells 
do_s_nsubj carillons 
invented_s_nsubj English 
requires_so_nsubj Change-ringing 
requires_so_dobj dexterity 
weigh_so_nsubj bells 
weigh_so_dobj ton 
using_o_dobj bells 
sound_s_nsubj bells 
memorize_so_nsubj Ringers 
memorize_so_dobj patterns 
have_so_nsubj which 
have_so_dobj names 
takes_o_dobj hours 
gives_so_nsubj look 
gives_so_dobj idea 
pulling_so_nsubj each 
pulling_so_dobj rope 
disappears_s_nsubj that 
speaks_s_nsubj one 
time_o_dobj pulls 
use_so_nsubj ringers 
use_so_dobj wrists 
involving_o_dobj bells 
described_so_nsubj Sayers 
described_so_dobj ringing 
ringing_o_dobj ringing 
finds_so_nsubj that 
finds_so_dobj satisfaction 
added_s_nsubj she 
comes_s_nsubj that 
stays_s_nsubj that 
think_s_nsubj ringers 
sit_s_nsubj This 
attend_so_nsubj who 
attend_so_dobj service 
treated_so_nsubj that 
treated_so_dobj tower 
rings_s_nsubj band 
are_s_nsubj ringers 
come_s_nsubj ringers 
making_o_dobj exit 
says_s_nsubj he 
admits_s_nsubj Marshall 
live_s_nsubj I 
publish_o_dobj booklet 
entitled_o_dobj Bells 
attacking_so_nsubj Baldwin 
attacking_so_dobj problem 
live_s_nsubj ringers 
surfaced_s_nsubj extent 
signing_o_dobj letter 
followed_s_nsubj that 
bless_o_dobj them 
take_so_nsubj Investors 
take_so_dobj comfort 
say_s_nsubj they 
says_s_nsubj he 
attract_so_nsubj that 
attract_so_dobj males 
kill_o_dobj them 
soared_so_nsubj dividends 
soared_so_dobj % 
fell_o_dobj % 
rose_so_nsubj Payouts 
rose_so_dobj % 
continuing_s_nsubj gains 
kept_so_nsubj expansion 
kept_so_dobj pace 
slid_s_nsubj yield 
pay_s_nsubj they 
keeping_so_nsubj They 
keeping_so_dobj watch 
says_s_nsubj Perritt 
dropped_s_nsubj yield 
took_so_nsubj who 
took_so_dobj hint 
sold_o_dobj shares 
escaped_so_nsubj Stockholders 
escaped_so_dobj debacle 
dropped_s_nsubj yield 
found_s_nsubj Perritt 
says_s_nsubj he 
began_s_nsubj drop 
says_s_nsubj Coxon 
factors_so_nsubj He 
factors_so_dobj that 
happen_s_nsubj What 
suggests_so_nsubj wisdom 
suggests_so_dobj rate 
reflecting_o_dobj weakening 
forecasting_so_nsubj Inc. 
forecasting_so_dobj growth 
expects_s_nsubj firm 
ranged_s_nsubj change 
making_o_dobj expenditures 
adjusting_o_dobj dividends 
followed_so_nsubj That 
followed_so_dobj months 
trailed_so_nsubj number 
trailed_so_dobj pace 
expects_so_nsubj who 
expects_so_dobj growth 
Having_os_dobj increases 
Having_os_csubj Having 
look_s_nsubj I 
obtained_so_nsubj father-in-law 
obtained_so_dobj financing 
had_so_nsubj which 
had_so_dobj subsidiary 
is_s_nsubj This 
went_s_nsubj patents 
acquired_so_nsubj It 
acquired_so_dobj patent 
dropped_so_nsubj Union 
dropped_so_dobj lawsuit 
discontinuing_o_dobj business 
fall_s_nsubj force 
said_s_nsubj he 
have_so_nsubj company 
have_so_dobj capital 
expanding_o_dobj business 
using_o_dobj some 
developed_s_nsubj it 
offers_so_nsubj company 
offers_so_dobj package 
closed_s_nsubj common 
set_so_nsubj that 
set_so_dobj rapprochement 
spoke_s_nsubj he 
harped_s_nsubj Nixon 
took_so_nsubj Chinese 
took_so_dobj aim 
criticized_so_nsubj newspaper 
criticized_so_dobj Nixon 
accused_so_nsubj paper 
accused_so_dobj him 
killed_so_nsubj that 
killed_so_dobj hundreds 
damaged_so_nsubj events 
damaged_so_dobj respect 
had_os_dobj which 
had_os_nsubj Americans 
responded_s_nsubj Chinese 
expressed_so_nsubj leaders 
expressed_so_dobj regret 
told_so_nsubj leader 
told_so_dobj Nixon 
occurred_s_nsubj which 
took_so_nsubj Lizhi 
took_so_dobj refuge 
imposed_so_nsubj Bush 
imposed_so_dobj series 
traveling_s_nsubj Nixon 
met_so_nsubj Nixon 
met_so_dobj Bush 
raised_so_nsubj president 
raised_so_dobj number 
included_so_nsubj These 
included_so_dobj policies 
pulled_s_nsubj China 
welcome_o_dobj infusion 
's_s_nsubj weapon 
are_s_nsubj signs 
arrived_s_nsubj he 
encircling_o_dobj compound 
remained_s_nsubj contingent 
clicked_o_dobj trigger 
Lure_so_nsubj Firms 
Lure_so_dobj Graduates 
know_s_nsubj companies 
barking_s_nsubj They 
attract_so_nsubj they 
attract_so_dobj employees 
passing_so_nsubj He 
passing_so_dobj buck 
have_so_nsubj manufacturers 
have_so_dobj conditions 
get_so_nsubj I 
get_so_dobj impression 
working_s_csubj working 
visited_so_nsubj I 
visited_so_dobj lot 
spending_so_nsubj Many 
spending_so_dobj lot 
changing_o_dobj perceptions 
improve_o_dobj conditions 
accept_o_dobj labor 
Earns_so_nsubj Bush 
Earns_so_dobj Ratings 
have_so_nsubj % 
have_so_dobj views 
reflect_so_nsubj this 
reflect_so_dobj fact 
have_so_nsubj % 
have_so_dobj opinion 
approve_s_nsubj who 
have_so_nsubj % 
have_so_dobj view 
approve_s_nsubj % 
perpetuates_so_nsubj point 
perpetuates_so_dobj perspective 
disciplined_so_nsubj Association 
disciplined_so_dobj number 
had_so_nsubj operator 
had_so_dobj listing 
has_so_nsubj who 
has_so_dobj number 
has_so_nsubj who 
has_so_dobj number 
consented_s_nsubj Triton 
return_so_nsubj Chase 
return_so_dobj call 
consented_s_nsubj Inc. 
consented_s_nsubj they 
return_so_nsubj Crane 
return_so_dobj call 
seeking_o_dobj comment 
consented_s_nsubj Corp. 
received_so_nsubj Canepa 
received_so_dobj suspension 
consented_s_nsubj they 
maintained_o_dobj books 
made_o_dobj violations 
consented_s_nsubj Corp. 
consented_s_nsubj they 
described_so_nsubj He 
described_so_dobj situation 
sold_so_nsubj firm 
sold_so_dobj securities 
consented_s_nsubj Inc. 
consented_s_nsubj firm 
had_so_nsubj spokesman 
had_so_dobj comment 
had_o_dobj comment 
said_s_nsubj he 
providing_so_nsubj they 
providing_so_dobj compliance 
had_so_nsubj I 
had_so_dobj clients 
said_s_nsubj he 
plays_so_nsubj trading 
plays_so_dobj role 
resist_so_nsubj officials 
resist_so_dobj onslaught 
overlap_s_nsubj hours 
took_so_nsubj % 
took_so_dobj place 
drove_so_nsubj bout 
drove_so_dobj stocks 
joined_sso_nsubj Stanley 
joined_sso_nsubj week 
joined_sso_dobj list 
heads_so_nsubj who 
heads_so_dobj Salomon 
heads_so_nsubj who 
heads_so_dobj Stanley 
ascribe_so_nsubj Maughan 
ascribe_so_dobj part 
have_so_nsubj They 
have_so_dobj plans 
scrutinizing_so_nsubj British 
scrutinizing_so_dobj trades 
serves_s_nsubj London 
manages_so_nsubj which 
manages_so_dobj billion 
has_so_nsubj Britain 
has_so_dobj instruments 
totaled_so_nsubj average 
totaled_so_dobj 9,118 
compares_s_nsubj This 
came_s_nsubj vote 
cost_o_dobj thousands 
reflected_so_nsubj legislation 
reflected_so_dobj compromise 
accepted_so_nsubj sides 
accepted_so_dobj compromise 
lead_s_nsubj which 
rise_s_nsubj wage 
praised_so_nsubj Roukema 
praised_so_dobj acceptance 
Adopting_os_dobj policy 
Adopting_os_csubj Adopting 
regard_so_nsubj makers 
regard_so_dobj wage 
fought_so_nsubj unions 
fought_so_dobj idea 
sets_so_nsubj compromise 
sets_so_dobj wage 
pay_so_nsubj Employers 
pay_so_dobj subminimum 
covers_so_nsubj wage 
covers_so_dobj workers 
insisted_s_nsubj House 
took_so_nsubj worker 
took_so_dobj job 
received_so_nsubj Corp. 
received_so_dobj contract 
won_so_nsubj Corp. 
won_so_dobj contract 
got_so_nsubj Corp. 
got_so_dobj contract 
act_s_nsubj he 
leading_so_nsubj Hahn 
leading_so_dobj bid 
implies_s_nsubj that 
face_so_nsubj Hahn 
face_so_dobj dilemma 
Assuming_o_dobj post 
researching_so_nsubj who 
researching_so_dobj book 
showed_so_nsubj he 
showed_so_dobj willingness 
occupying_so_nsubj who 
occupying_so_dobj building 
enticed_so_nsubj Pamplin 
enticed_so_dobj Hahn 
befuddled_so_nsubj move 
befuddled_so_dobj many 
graduated_so_nsubj he 
graduated_so_dobj Kappa 
earned_so_nsubj He 
earned_so_dobj doctorate 
inherited_so_nsubj he 
inherited_so_dobj company 
sold_so_nsubj He 
sold_so_dobj unit 
made_so_nsubj that 
made_so_dobj covers 
climbed_s_nsubj sales 
took_so_nsubj Hahn 
took_so_dobj reins 
attributes_so_nsubj Hahn 
attributes_so_dobj gains 
says_s_nsubj he 
say_s_nsubj Hahn 
say_s_nsubj observers 
entering_so_nsubj he 
entering_so_dobj waters 
approved_so_nsubj conference 
approved_so_dobj portions 
relies_s_nsubj that 
approved_so_nsubj appropriators 
approved_so_dobj $ 
approved_so_nsubj conference 
approved_so_dobj $ 
contrasts_s_nsubj agreement 
came_s_nsubj action 
draws_so_nsubj nature 
draws_so_dobj variety 
began_so_nsubj Gray 
began_so_dobj bidding 
added_so_nsubj Lewis 
added_so_dobj provision 
broadened_so_nsubj Senate 
broadened_so_dobj list 
has_so_nsubj who 
has_so_dobj ties 
waived_so_nsubj House 
waived_so_dobj restrictions 
gave_o_dobj approval 
goes_s_nsubj that 
carries_o_dobj ban 
funding_o_dobj departments 
Takes_so_nsubj Beauty 
Takes_so_dobj Backseat 
's_s_nsubj disagreement 
teaches_so_nsubj who 
teaches_so_dobj art 
blocks_so_nsubj that 
blocks_so_dobj view 
Competes_s_nsubj Carrier 
PORTING_os_dobj POTABLES 
PORTING_os_csubj PORTING 
claims_s_nsubj Corp. 
hang_s_nsubj loops 
tote_so_nsubj carrier 
tote_so_dobj cups 
giving_soo_nsubj outlets 
giving_soo_iobj it 
giving_soo_dobj try 
acknowledges_so_nsubj company 
acknowledges_so_dobj problems 
's_s_nsubj place 
Touches_so_nsubj Spirit 
Touches_so_dobj World 
promises_so_nsubj EXCHANGE 
promises_so_dobj change 
opened_s_nsubj exhibition 
runs_so_nsubj show 
runs_so_dobj gamut 
continues_s_nsubj event 
includes_o_dobj program 
sees_so_nsubj Droz 
sees_so_dobj benefits 
have_so_nsubj who 
have_so_dobj clients 
learn_so_nsubj Americans 
learn_so_dobj more 
make_so_nsubj you 
make_so_dobj corkscrews 
need_s_nsubj you 
got_s_nsubj They 
seeking_so_nsubj which 
seeking_so_dobj solutions 
says_s_nsubj state 
contain_so_nsubj that 
contain_so_dobj cells 
says_s_nsubj Eggers 
compared_so_nsubj architect 
compared_so_dobj them 
says_s_nsubj it 
cited_so_nsubj Department 
cited_so_dobj Corp. 
proposed_o_dobj $ 
proposed_so_nsubj Safety 
proposed_so_dobj fines 
cited_so_nsubj OSHA 
cited_so_dobj violations 
covering_o_dobj works 
involved_so_nsubj citation 
involved_so_dobj violations 
proposed_so_nsubj OSHA 
proposed_so_dobj $ 
resulted_s_nsubj which 
said_s_nsubj Dole 
are_s_nsubj failures 
regarding_o_dobj penalty 
said_s_nsubj spokesman 
receive_so_nsubj they 
receive_so_dobj evaluation 
represented_so_nsubj citations 
represented_so_dobj action 
has_so_nsubj USX 
has_so_dobj days 
contesting_so_nsubj company 
contesting_so_dobj fine 
identified_so_nsubj letter 
identified_so_dobj NRDC 
referred_s_nsubj editorial 
emphasized_so_nsubj you 
emphasized_so_dobj prevalance 
examined_s_nsubj we 
suffered_s_nsubj They 
lack_o_dobj safety 
lack_so_nsubj they 
lack_so_dobj necessities 
preventing_os_dobj homelessness 
preventing_os_csubj preventing 
sleep_s_nsubj you 
had_so_nsubj Some 
had_so_dobj illness 
dismiss_so_nsubj You 
dismiss_so_dobj view 
is_s_nsubj sign 
stopped_s_nsubj research 
know_so_nsubj that 
know_so_dobj thing 
see_so_nsubj they 
see_so_dobj it 
subscribe_s_nsubj who 
mention_so_nsubj you 
mention_so_dobj YMCA 
participated_s_nsubj that 
underwent_so_nsubj who 
underwent_so_dobj examinations 
Choose_o_dobj executives 
put_o_dobj them 
passed_so_nsubj House 
passed_so_dobj legislation 
came_s_nsubj vote 
approved_o_dobj amendments 
is_s_nsubj question 
stands_s_nsubj Senate 
involving_o_dobj airline 
give_soo_nsubj bill 
give_soo_iobj Department 
give_soo_dobj days 
selling_os_dobj assets 
selling_os_csubj selling 
approved_so_nsubj House 
approved_so_dobj amendment 
passed_s_nsubj which 
approved_so_nsubj House 
approved_so_dobj amendment 
drop_s_nsubj You 
read_o_dobj text 
take_so_nsubj You 
take_so_dobj notes 
look_s_nsubj folks 
do_so_nsubj You 
do_so_dobj this 
print_so_nsubj newspaper 
print_so_dobj text 
had_so_nsubj you 
had_so_dobj right 
had_so_nsubj I 
had_so_dobj right 
propagandize_so_nsubj government 
propagandize_so_dobj people 
propagandizes_so_nsubj government 
propagandizes_so_dobj people 
wrote_s_nsubj I 
clipped_os_dobj that 
clipped_os_nsubj you 
review_so_nsubj I 
review_so_dobj facts 
broadcasts_so_nsubj that 
broadcasts_so_dobj news 
say_so_nsubj some 
say_so_dobj propaganda 
does_so_nsubj It 
does_so_dobj job 
barred_so_nsubj law 
barred_so_dobj dissemination 
barred_so_nsubj it 
barred_so_dobj them 
's_o_iobj word 
's_s_nsubj that 
asked_s_nsubj I 
transcribe_o_dobj editorial 
print_o_dobj it 
sounded_s_nsubj That 
went_s_nsubj that 
sued_s_nsubj I 
lost_so_nsubj I 
lost_so_dobj case 
